image,object,cls_conf,dfl_conf,mean_edge_conf,mean_width,max_width,mean_entropy,mean_variance,jaccard,instability,ambiguous_ratio,identity_switches,matched_gt
"images/val/273271,104ec00067d5b782.jpg",0,0.9372047781944275,0.9917771816253662,0.9959952235221863,1.0,1.0,0.5687931776046753,0.1873907446861267,0.8930995464324951,0.10690045356750488,0.7647058963775635,0.0,3
"images/val/273271,104ec00067d5b782.jpg",1,0.9306789040565491,0.863569974899292,0.954627275466919,1.25,2.0,0.5695924162864685,0.18575419485569,0.8952381014823914,0.10476189851760864,0.3529411852359772,0.0,0
"images/val/273271,104ec00067d5b782.jpg",2,0.9161050319671631,0.9799051284790039,0.9910330772399902,1.0,1.0,0.5165124535560608,0.16508325934410095,0.8876050710678101,0.11239492893218994,0.5789473652839661,0.0,1
"images/val/273271,104ec00067d5b782.jpg",3,0.9142370820045471,0.9829728603363037,0.9887957572937012,0.5,1.0,0.40056779980659485,0.11299234628677368,0.953125,0.046875,0.375,0.0,2
"images/val/273271,104ec00067d5b782.jpg",4,0.835686206817627,0.5915840268135071,0.8937343955039978,1.5,3.0,0.9370800256729126,0.5435908436775208,0.9488095641136169,0.05119043588638306,0.3333333432674408,0.0,18
"images/val/273271,104ec00067d5b782.jpg",5,0.8293454051017761,0.9713214635848999,0.9848845601081848,1.0,1.0,0.6971540451049805,0.2515009939670563,0.8899860382080078,0.11001396179199219,0.5555555820465088,0.0,7
"images/val/273271,104ec00067d5b782.jpg",6,0.7667663097381592,0.848096489906311,0.9589678049087524,1.25,2.0,0.7774462699890137,0.30091676115989685,0.866220235824585,0.13377976417541504,0.7058823704719543,0.0,23
"images/val/273271,104ec00067d5b782.jpg",7,0.7336910367012024,0.7518675327301025,0.8866826295852661,1.5,2.0,0.8945580720901489,0.4760282039642334,0.8615079522132874,0.13849204778671265,0.75,0.0,5
"images/val/273271,104ec00067d5b782.jpg",8,0.7034887075424194,0.6931536197662354,0.8918840289115906,1.25,2.0,0.9112261533737183,0.4980875253677368,0.7931815385818481,0.20681846141815186,0.8695651888847351,0.0,26
"images/val/273271,104ec00067d5b782.jpg",9,0.7006793022155762,0.6793155074119568,0.8941059112548828,1.25,2.0,0.9085732102394104,0.4950999617576599,0.9398809671401978,0.060119032859802246,0.3125,0.0,13
"images/val/273271,104ec00067d5b782.jpg",10,0.68626469373703,0.8831155300140381,0.9512953162193298,1.0,2.0,0.7405960559844971,0.2791222333908081,0.913095235824585,0.08690476417541504,0.5555555820465088,0.0,22
"images/val/273271,104ec00067d5b782.jpg",11,0.6644132137298584,0.41393643617630005,0.8069717288017273,2.0,5.0,1.1844614744186401,1.2520778179168701,0.8482142686843872,0.1517857313156128,0.46666666865348816,1.0,19
"images/val/273271,104ec00067d5b782.jpg",12,0.6524773240089417,0.43679583072662354,0.7939180135726929,1.75,5.0,1.0880398750305176,0.974330484867096,0.9464285969734192,0.05357140302658081,0.20000000298023224,0.0,38
"images/val/273271,12c170004bd53807.jpg",0,0.8676163554191589,0.9575538635253906,0.9819656014442444,1.0,1.0,0.6479297876358032,0.2271081805229187,1.0,0.0,0.0,0.0,3
"images/val/273271,12c170004bd53807.jpg",1,0.7267100811004639,0.4851949214935303,0.8404992818832397,2.0,4.0,0.9107130765914917,0.7972267270088196,0.9233193397521973,0.07668066024780273,0.47058823704719543,0.0,13
"images/val/273271,12c170004bd53807.jpg",2,0.7239571809768677,0.41697442531585693,0.8163042068481445,2.0,4.0,0.9196196794509888,0.7723585367202759,0.953125,0.046875,0.375,0.0,14
"images/val/273271,12c170004bd53807.jpg",3,0.6593838930130005,0.8612638711929321,0.958005964756012,1.25,2.0,0.719896137714386,0.29156962037086487,0.8885281682014465,0.11147183179855347,0.5,0.0,4
"images/val/273271,12c170004bd53807.jpg",4,0.6329131722450256,0.8427785634994507,0.9271762371063232,1.5,2.0,0.876852810382843,0.42140087485313416,0.8821429014205933,0.11785709857940674,0.5,0.0,0
"images/val/273271,12c170004bd53807.jpg",5,0.6156516075134277,0.6248995065689087,0.8922556638717651,1.75,4.0,0.7817949056625366,0.5476634502410889,0.7455853223800659,0.2544146776199341,0.75,0.0,12
"images/val/273271,151210003c437b07.jpg",0,0.7915917634963989,0.8888981342315674,0.9510529637336731,1.0,1.0,0.7273765206336975,0.2727189064025879,0.8228729367256165,0.17712706327438354,0.7777777910232544,0.0,7
"images/val/273271,151210003c437b07.jpg",1,0.7822842597961426,0.8514714241027832,0.9390804171562195,1.0,2.0,0.7023649215698242,0.26984480023384094,0.8823529481887817,0.11764705181121826,0.761904776096344,0.0,24
